candidate_rank,drug,genes_targeted,n_hub_genes,avg_hub_score,top_hub_gene_rank,approved,interaction_types,sources,repurposing_score
1,METFORMIN,KCNJ11; PPARG; TCF7L2,3,0.6665,1,True,unknown,PharmGKB,3.7827
2,GLIMEPIRIDE,TNF; KCNJ11; IRS1,3,0.6085,4,True,unknown; blocker,NCI; TdgClinicalTrial; TEND; ChEMBL; NCI,3.5796
3,CYCLOPHOSPHAMIDE ANHYDROUS,INSR; FOXO1; IRS1,3,0.5957,5,True,unknown,PharmGKB,3.5349
4,EPIRUBICIN,INSR; FOXO1; IRS1,3,0.5957,5,True,unknown,PharmGKB,3.5349
5,FLUOROURACIL,INSR; FOXO1; IRS1,3,0.5957,5,True,unknown,PharmGKB,3.5349
6,CYCLOSPORINE,TNF; LEP; TCF7L2,3,0.5937,4,True,unknown,PharmGKB,3.528
7,"INSULIN, REGULAR, HUMAN",TNF; INSR; IL6,3,0.5927,4,True,unknown; agonist,NCI; ChEMBL; TdgClinicalTrial; TEND,3.5244
8,SPIRONOLACTONE,TNF; PPARG,2,0.7596,1,True,unknown,NCI; DTC,3.7086
9,PSAMMAPLIN A,SIRT1; PPARG,2,0.7631,1,False,unknown,DTC,3.4708
10,OLANZAPINE,GLP1R; PPARG,2,0.6864,1,True,unknown,PharmGKB,3.4524
11,GLYBURIDE,KCNJ11; PPARG,2,0.6792,1,True,blocker; unknown,ChEMBL; TdgClinicalTrial; TEND; DTC,3.4273
12,ESTRADIOL VALERATE,LEP; PPARG,2,0.6625,1,True,unknown,NCI; DTC,3.3687
13,TROGLITAZONE,LEP; PPARG,2,0.6625,1,True,unknown; agonist,NCI; DTC; ChEMBL,3.3687
14,INSULIN DEGLUDEC,INSR; INS,2,0.6527,2,True,agonist; unknown,ChEMBL; TTD,3.3345
15,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,INSR; INS,2,0.6527,2,True,agonist; unknown,ChEMBL; TTD,3.3345
16,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSR; INS,2,0.6527,2,True,agonist; unknown,ChEMBL; TTD,3.3345
17,INSULIN ZINC SUSP RECOMBINANT HUMAN,INSR; INS,2,0.6527,2,True,agonist; unknown,ChEMBL; TTD,3.3345
18,MITOGLITAZONE,INSR; PPARG,2,0.6956,1,False,unknown,TTD; TdgClinicalTrial,3.2346
19,ADALIMUMAB,TNF; IL6,2,0.6194,4,True,inhibitor; unknown,ChEMBL; TTD; TdgClinicalTrial; TEND; PharmGKB,3.2181
20,ETANERCEPT,TNF; IL6,2,0.6194,4,True,inhibitor; unknown,ChEMBL; TdgClinicalTrial; TTD; TEND; PharmGKB,3.2181
21,INFLIXIMAB,TNF; IL6,2,0.6194,4,True,inhibitor; unknown,TTD; ChEMBL; TdgClinicalTrial; TEND; PharmGKB,3.2181
22,MIDOSTAURIN,TNF; IL6,2,0.6194,4,True,unknown,NCI,3.2181
23,CARBOPLATIN,TNF; CDKN2A,2,0.6184,4,True,unknown,PharmGKB; CKB-CORE,3.2145
24,GEMCITABINE,TNF; CDKN2A,2,0.6184,4,True,unknown,PharmGKB; CKB-CORE,3.2145
25,AMORFRUTIN A,GLP1R; PPARG,2,0.6864,1,False,unknown,DTC,3.2024
26,KEPONE,GLP1R; PPARG,2,0.6864,1,False,unknown,DTC,3.2024
27,SIROLIMUS,CDKN2A; TCF7L2,2,0.6054,6,True,unknown,CKB-CORE; PharmGKB,3.1688
28,LAPACHONE,TNF; SIRT1,2,0.6707,3,False,unknown,NCI; TTD,3.1473
29,INSULIN PEGLISPRO,INSR; INS,2,0.6527,2,False,agonist; unknown,ChEMBL; TTD,3.0845
30,REPAGLINIDE,KCNJ11; TCF7L2,2,0.5737,6,True,blocker; unknown,PharmGKB; ChEMBL; TEND; PharmGKB,3.0581
31,FOLIC ACID,TNF; LEP,2,0.5701,4,True,unknown,NCI,3.0452
32,METHIMAZOLE,TNF; LEP,2,0.5701,4,True,unknown,NCI,3.0452
33,PROPYLTHIOURACIL,TNF; LEP,2,0.5701,4,True,unknown,NCI,3.0452
34,RISPERIDONE,TNF; LEP,2,0.5701,4,True,unknown,NCI,3.0452
35,PF-04236921,TNF; IL6,2,0.6194,4,False,unknown; inhibitor,TdgClinicalTrial; TTD; ChEMBL,2.9681
36,DULOXETINE HYDROCHLORIDE,GLP1R; IL6,2,0.5463,9,True,unknown,DTC; PharmGKB,2.9619
37,HOMIDIUM BROMIDE,TNF; GLP1R,2,0.594,4,False,unknown,DTC,2.879
38,GEMFIBROZIL,IL6; LEP,2,0.5223,9,True,unknown,NCI,2.8782
39,CLOZAPINE,GLP1R; LEP,2,0.4969,12,True,unknown,PharmGKB; NCI,2.7891
40,ANHYDROUS TACROLIMUS,LEP; KCNJ11,2,0.4897,14,True,unknown,PharmGKB,2.7639
41,ILORASERTIB,CDKN2A; INSR,2,0.5544,10,False,unknown,CGI; DTC,2.7405
42,APIGENIN,PPARG,1,0.852,1,True,unknown,DTC,3.632
43,ASPIRIN,PPARG,1,0.852,1,True,unknown,PharmGKB,3.632
44,BALSALAZIDE,PPARG,1,0.852,1,True,unknown,TdgClinicalTrial,3.632
45,BALSALAZIDE DISODIUM,PPARG,1,0.852,1,True,agonist,ChEMBL,3.632
46,BENZBROMARONE,PPARG,1,0.852,1,True,unknown,DTC,3.632
47,BEZAFIBRATE,PPARG,1,0.852,1,True,agonist,ChEMBL,3.632
48,CELECOXIB,PPARG,1,0.852,1,True,unknown,PharmGKB,3.632
49,DICLOFENAC SODIUM,PPARG,1,0.852,1,True,unknown,PharmGKB,3.632
50,FENOFIBRIC ACID,PPARG,1,0.852,1,True,unknown,DTC,3.632
51,GENTIAN VIOLET CATION,PPARG,1,0.852,1,True,unknown,DTC,3.632
52,HESPERETIN,PPARG,1,0.852,1,True,unknown,DTC,3.632
53,LEVOTHYROXINE,PPARG,1,0.852,1,True,unknown,DTC,3.632
54,MESALAMINE,PPARG,1,0.852,1,True,agonist,TdgClinicalTrial; ChEMBL,3.632
55,METHOTREXATE,PPARG,1,0.852,1,True,unknown,DTC,3.632
56,METHYLENE BLUE ANHYDROUS,PPARG,1,0.852,1,True,unknown,DTC,3.632
57,MYCOPHENOLATE,PPARG,1,0.852,1,True,unknown,DTC,3.632
58,OLSALAZINE SODIUM,PPARG,1,0.852,1,True,agonist,ChEMBL,3.632
59,PHENOLPHTHALEIN,PPARG,1,0.852,1,True,unknown,DTC,3.632
60,PIOGLITAZONE HYDROCHLORIDE,PPARG,1,0.852,1,True,agonist,DTC; ChEMBL; TEND; TdgClinicalTrial,3.632
61,PROPYLPARABEN,PPARG,1,0.852,1,True,unknown,DTC,3.632
62,RALOXIFENE HYDROCHLORIDE,PPARG,1,0.852,1,True,unknown,DTC,3.632
63,ROSIGLITAZONE,PPARG,1,0.852,1,True,unknown,DTC; TEND; TdgClinicalTrial,3.632
64,ROSIGLITAZONE MALEATE,PPARG,1,0.852,1,True,agonist,ChEMBL,3.632
65,SULFASALAZINE,PPARG,1,0.852,1,True,unknown,TdgClinicalTrial,3.632
66,TREPROSTINIL,PPARG,1,0.852,1,True,unknown,TEND; TdgClinicalTrial,3.632
67,2-PHENYLPHENOL,PPARG,1,0.852,1,False,unknown,DTC,3.382
68,"9,10-PHENANTHRENEQUINONE",PPARG,1,0.852,1,False,unknown,DTC,3.382
69,ABIETIC ACID,PPARG,1,0.852,1,False,unknown,DTC,3.382
70,ALDICARB,PPARG,1,0.852,1,False,unknown,DTC,3.382
71,ALEGLITAZAR,PPARG,1,0.852,1,False,agonist,TdgClinicalTrial; ChEMBL,3.382
72,AMG-131,PPARG,1,0.852,1,False,unknown,TdgClinicalTrial,3.382
73,ARHALOFENATE,PPARG,1,0.852,1,False,modulator,ChEMBL,3.382
74,ATX08-001,PPARG,1,0.852,1,False,modulator,ChEMBL,3.382
75,AVE0847,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
76,BALAGLITAZONE,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
77,BARDOXOLONE METHYL,PPARG,1,0.852,1,False,inhibitor,ChEMBL,3.382
78,BENSULIDE,PPARG,1,0.852,1,False,unknown,DTC,3.382
79,CHEMBL:CHEMBL166112,PPARG,1,0.852,1,False,unknown,DTC,3.382
80,CHEMBL:CHEMBL1833984,PPARG,1,0.852,1,False,unknown,DTC,3.382
81,CHEMBL:CHEMBL1834951,PPARG,1,0.852,1,False,unknown,DTC,3.382
82,CHEMBL:CHEMBL184450,PPARG,1,0.852,1,False,unknown,DTC,3.382
83,CHEMBL:CHEMBL202243,PPARG,1,0.852,1,False,unknown,DTC,3.382
84,CHEMBL:CHEMBL2057864,PPARG,1,0.852,1,False,unknown,DTC,3.382
85,CHEMBL:CHEMBL2178583,PPARG,1,0.852,1,False,unknown,DTC,3.382
86,CHEMBL:CHEMBL2178586,PPARG,1,0.852,1,False,unknown,DTC,3.382
87,CHEMBL:CHEMBL2178596,PPARG,1,0.852,1,False,unknown,DTC,3.382
88,CHEMBL:CHEMBL2208195,PPARG,1,0.852,1,False,unknown,DTC,3.382
89,CHEMBL:CHEMBL2208196,PPARG,1,0.852,1,False,unknown,DTC,3.382
90,CHEMBL:CHEMBL2208197,PPARG,1,0.852,1,False,unknown,DTC,3.382
91,CHEMBL:CHEMBL312032,PPARG,1,0.852,1,False,unknown,DTC,3.382
92,CHEMBL:CHEMBL599165,PPARG,1,0.852,1,False,unknown,DTC,3.382
93,CHIGLITAZAR,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
94,CHLORFENAPYR,PPARG,1,0.852,1,False,unknown,DTC,3.382
95,CIGLITAZONE,PPARG,1,0.852,1,False,unknown,DTC,3.382
96,CLX-0921,PPARG,1,0.852,1,False,agonist,TdgClinicalTrial; ChEMBL,3.382
97,DB959,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
98,DICHLOROPHEN,PPARG,1,0.852,1,False,unknown,DTC,3.382
99,DIMETHENAMID,PPARG,1,0.852,1,False,unknown,DTC,3.382
100,E319,PPARG,1,0.852,1,False,unknown,DTC,3.382
101,ECHINATIN,PPARG,1,0.852,1,False,unknown,DTC,3.382
102,EFATUTAZONE,PPARG,1,0.852,1,False,agonist,TALC,3.382
103,EFATUTAZONE DIHYDROCHLORIDE,PPARG,1,0.852,1,False,unknown,TdgClinicalTrial,3.382
104,EFATUTAZONE HYDROCHLORIDE,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
105,ELATOSIDE D,PPARG,1,0.852,1,False,unknown,DTC,3.382
106,ENOXOLONE,PPARG,1,0.852,1,False,unknown,DTC,3.382
107,ETALOCIB,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
108,FARGLITAZAR,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
109,FLUDIOXONIL,PPARG,1,0.852,1,False,unknown,DTC,3.382
110,FLUORODIFEN,PPARG,1,0.852,1,False,unknown,DTC,3.382
111,FLUOXASTROBIN,PPARG,1,0.852,1,False,unknown,DTC,3.382
112,GANCAONIN L,PPARG,1,0.852,1,False,unknown,DTC,3.382
113,GLABROL,PPARG,1,0.852,1,False,unknown,DTC,3.382
114,GLABRONE,PPARG,1,0.852,1,False,unknown,DTC,3.382
115,GW1929,PPARG,1,0.852,1,False,unknown,DTC,3.382
116,GW501516,PPARG,1,0.852,1,False,unknown,TdgClinicalTrial; DTC,3.382
117,GW7647,PPARG,1,0.852,1,False,unknown,DTC,3.382
118,IMIGLITAZAR,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
119,INDEGLITAZAR,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
120,INT131,PPARG,1,0.852,1,False,modulator,ChEMBL,3.382
121,IPRODIONE,PPARG,1,0.852,1,False,unknown,DTC,3.382
122,ISOSILYBIN A,PPARG,1,0.852,1,False,unknown,DTC,3.382
123,JB991,PPARG,1,0.852,1,False,unknown,TdgClinicalTrial,3.382
124,KANZONOL W,PPARG,1,0.852,1,False,unknown,DTC,3.382
125,KANZONOL X,PPARG,1,0.852,1,False,unknown,DTC,3.382
126,LANIFIBRANOR,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
127,LERIGLITAZONE,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
128,LICOFLAVANONE A,PPARG,1,0.852,1,False,unknown,DTC,3.382
129,MBX-2044,PPARG,1,0.852,1,False,modulator,TdgClinicalTrial; ChEMBL,3.382
130,METAGLIDASEN,PPARG,1,0.852,1,False,unknown,TdgClinicalTrial,3.382
131,METHOXYCHLOR,PPARG,1,0.852,1,False,unknown,DTC,3.382
132,MK-0533,PPARG,1,0.852,1,False,modulator,ChEMBL,3.382
133,MK-0767,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
134,MURAGLITAZAR,PPARG,1,0.852,1,False,agonist,ChEMBL; TdgClinicalTrial,3.382
135,NALED,PPARG,1,0.852,1,False,unknown,DTC,3.382
136,NAVEGLITAZAR,PPARG,1,0.852,1,False,agonist,ChEMBL; TdgClinicalTrial,3.382
137,NETOGLITAZONE,PPARG,1,0.852,1,False,modulator,ChEMBL,3.382
138,OCHRATOXIN A,PPARG,1,0.852,1,False,unknown,DTC,3.382
139,OMS405,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
140,PATULIN,PPARG,1,0.852,1,False,unknown,DTC,3.382
141,PHENAMIPHOS,PPARG,1,0.852,1,False,unknown,DTC,3.382
142,PHENOTHIAZINE,PPARG,1,0.852,1,False,unknown,DTC,3.382
143,PROCHLORAZ,PPARG,1,0.852,1,False,unknown,DTC,3.382
144,PROPYLPYRAZOLETRIOL,PPARG,1,0.852,1,False,unknown,DTC,3.382
145,PROSTAGLANDIN D2,PPARG,1,0.852,1,False,unknown,DTC,3.382
146,RIVOGLITAZONE,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
147,ROTENONE,PPARG,1,0.852,1,False,unknown,DTC,3.382
148,SAROGLITAZAR,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
149,SEIMATOPOLIDE A,PPARG,1,0.852,1,False,unknown,DTC,3.382
150,SHINFLAVANONE,PPARG,1,0.852,1,False,unknown,DTC,3.382
151,SHINPTEROCARPIN,PPARG,1,0.852,1,False,unknown,DTC,3.382
152,SODELGLITAZAR,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
153,TECNAZENE,PPARG,1,0.852,1,False,unknown,DTC,3.382
154,TESAGLITAZAR,PPARG,1,0.852,1,False,agonist,ChEMBL,3.382
155,TETRADECYLTHIOACETIC ACID,PPARG,1,0.852,1,False,unknown,DTC,3.382
156,TRIFLOXYSTROBIN,PPARG,1,0.852,1,False,unknown,DTC,3.382
157,INULIN,INS,1,0.7662,2,True,unknown,TTD,3.3318
158,NIACINAMIDE,SIRT1,1,0.6742,3,True,unknown,DTC,3.0096
159,PANOBINOSTAT,SIRT1,1,0.6742,3,True,inhibitor,TALC,3.0096
160,RESVERATROL,SIRT1,1,0.6742,3,True,unknown,DTC,3.0096
161,ALTEPLASE,TNF,1,0.6672,4,True,unknown,NCI,2.9851
162,AMPHOTERICIN B LIPOSOMAL,TNF,1,0.6672,4,True,unknown,DTC,2.9851
163,ATORVASTATIN CALCIUM TRIHYDRATE,TNF,1,0.6672,4,True,unknown,PharmGKB,2.9851
164,BUPIVACAINE,TNF,1,0.6672,4,True,unknown,NCI,2.9851
165,CARBAMAZEPINE,TNF,1,0.6672,4,True,unknown,PharmGKB; NCI,2.9851
166,CEFOTAXIME SODIUM,TNF,1,0.6672,4,True,unknown,NCI,2.9851
167,CERTOLIZUMAB PEGOL,TNF,1,0.6672,4,True,inhibitor,TdgClinicalTrial; TTD; ChEMBL; TEND,2.9851
168,CROMOLYN SODIUM,TNF,1,0.6672,4,True,unknown,NCI,2.9851
169,DIDANOSINE,TNF,1,0.6672,4,True,unknown,NCI,2.9851
170,DIGOXIN,TNF,1,0.6672,4,True,unknown,DTC,2.9851
171,ETHAMBUTOL HYDROCHLORIDE,TNF,1,0.6672,4,True,unknown,PharmGKB,2.9851
172,FLUOCINOLONE ACETONIDE,TNF,1,0.6672,4,True,unknown,NCI,2.9851
173,GENTAMICIN,TNF,1,0.6672,4,True,unknown,NCI,2.9851
174,GOLIMUMAB,TNF,1,0.6672,4,True,inhibitor,TTD; TdgClinicalTrial; ChEMBL; TEND,2.9851
